xanh lá
lá cây
cây cao
cao ráo
ráo riết
riết mình
mình tôi
tôi đây
đây rồi
rồi sao
sao đây
đây đó
đó đây
đây kìa
kìa này
này nọ
nọ kia
kia này
này rồi
rồi nhé
nhé anh
anh ơi
ơi là
là gì
gì đây
đây mà
mà sao
sao vậy
vậy à
à ủa
ủa gì
gì vậy
vậy thôi
thôi được
được rồi
lung linh
linh tinh
tinh nghịch
nghịch ngợm
ngợm tính
tính toán
toán học
học hành
hành động
động lực
lực lượng
lượng từ
từ ngữ
ngữ pháp
pháp luật
luật lệ
lệ thường
thường ngày
ngày mai
mai này
này kìa
kìa kia
kia này
này đây
đây này
này đó
đó này
này nọ
nọ này
này rồi
rồi đây
đây rồi
rồi mà
mà thôi
thôi nha
nha em
em ơi
ơi trời
trời ạ
ạ nhỉ
nhỉ hả
hả em
em à
à ừ
ừ thì
thì sao
sao nào
nào đây
đây này
này đó
đó kia
kia nọ
nọ này
này thế
thế nào
nào hay
hay không
không biết
biết đâu
đâu có
có gì
gì đó
đó mà
mà thôi
thôi đi
đi nào
nào em
em nhé
nhé anh
anh à
à ha
ha ha
ha há
há hả
hả vậy
vậy à
à ừ
ừ nhỉ
nhỉ thế
thế à
à phải
phải không
không à
à đúng
đúng rồi
rồi đó
đó thôi
thôi nha
nha nhé
nhé em
em ạ
ạ anh
anh ơi
ơi em
em à
à sao
sao thế
thế này
này nè
nè nhìn
nhìn kìa
kìa đó
đó rồi
rồi còn
còn gì
gì nữa
nữa không
không nhỉ
nhỉ em
em ơi
ơi anh
anh nhé
nhé đi
đi thôi
thôi em
em à
